% f_log(GV/m) T(K) deltaE(eV)
-1.83914314 699.7 4.11967554
-1.83914314 705.7 4.12093059
-1.83914314 711.7 4.12218132
-1.83914314 717.7 4.12342788
-1.83914314 723.7 4.12467038
-1.83914314 729.8 4.12590894
-1.83914314 735.8 4.12714369
-1.83914314 741.8 4.12837474
-1.83914314 747.8 4.12960219
-1.83914314 753.8 4.13082615
-1.83914314 759.9 4.13204672
-1.83914314 765.9 4.13326399
-1.83914314 771.9 4.13447806
-1.83914314 777.9 4.13568901
-1.83914314 783.9 4.13689694
-1.83914314 790.0 4.13810191
-1.83914314 796.0 4.13930401
-1.83914314 802.0 4.14050332
-1.83914314 808.0 4.14169991
-1.83914314 814.0 4.14289385
-1.83914314 820.1 4.14408521
-1.83914314 826.1 4.14527406
-1.83914314 832.1 4.14646045
-1.83914314 838.1 4.14764445
-1.83914314 844.1 4.14882612
-1.83914314 850.2 4.15000552
-1.83914314 856.2 4.15118269
-1.83914314 862.2 4.15235771
-1.83914314 868.2 4.15353061
-1.83914314 874.2 4.15470144
-1.83914314 880.3 4.15587026
-1.83914314 886.3 4.15703712
-1.83914314 892.3 4.15820205
-1.83914314 898.3 4.15936510
-1.83914314 904.3 4.16052631
-1.83914314 910.4 4.16168573
-1.83914314 916.4 4.16284340
-1.83914314 922.4 4.16399935
-1.83914314 928.4 4.16515363
-1.83914314 934.4 4.16630626
-1.83914314 940.5 4.16745728
-1.83914314 946.5 4.16860674
-1.83914314 952.5 4.16975465
-1.83914314 958.5 4.17090106
-1.83914314 964.5 4.17204600
-1.83914314 970.6 4.17318949
-1.83914314 976.6 4.17433156
-1.83914314 982.6 4.17547226
-1.83914314 988.6 4.17661159
-1.83914314 994.6 4.17774960
-1.83914314 1000.7 4.17888630
-1.83914314 1006.7 4.18002173
-1.83914314 1012.7 4.18115591
-1.83914314 1018.7 4.18228885
-1.83914314 1024.7 4.18342060
-1.83914314 1030.8 4.18455116
-1.83914314 1036.8 4.18568057
-1.83914314 1042.8 4.18680884
-1.83914314 1048.8 4.18793600
-1.83914314 1054.8 4.18906206
-1.83914314 1060.9 4.19018705
-1.83914314 1066.9 4.19131099
-1.83914314 1072.9 4.19243389
-1.83914314 1078.9 4.19355578
-1.83914314 1084.9 4.19467668
-1.83914314 1091.0 4.19579659
-1.83914314 1097.0 4.19691555
-1.83914314 1103.0 4.19803356
-1.83914314 1109.0 4.19915065
-1.83914314 1115.1 4.20026682
-1.83914314 1121.1 4.20138210
-1.83914314 1127.1 4.20249650
-1.83914314 1133.1 4.20361004
-1.83914314 1139.1 4.20472272
-1.83914314 1145.2 4.20583354
-1.83914314 1151.2 4.20694458
-1.83914314 1157.2 4.20805481
-1.83914314 1163.2 4.20916425
-1.83914314 1169.2 4.21027292
-1.83914314 1175.3 4.21138081
-1.83914314 1181.3 4.21248897
-1.83914314 1187.3 4.21359537
-1.83914314 1193.3 4.21470103
-1.83914314 1199.3 4.21580598
-1.83914314 1205.4 4.21691021
-1.83914314 1211.4 4.21801376
-1.83914314 1217.4 4.21911662
-1.83914314 1223.4 4.22021880
-1.83914314 1229.4 4.22132032
-1.83914314 1235.5 4.22242119
-1.83914314 1241.5 4.22352142
-1.83914314 1247.5 4.22462101
-1.83914314 1253.5 4.22571998
-1.83914314 1259.5 4.22681834
-1.83914314 1265.6 4.22791610
-1.83914314 1271.6 4.22901325
-1.83914314 1277.6 4.23010983
-1.83914314 1283.6 4.23120582
-1.83914314 1289.6 4.23230125
-1.83914314 1295.7 4.23339612
-1.83914314 1301.7 4.23449043
-1.83914314 1307.7 4.23558420
-1.83914314 1313.7 4.23667743
-1.83914314 1319.7 4.23777014
-1.83914314 1325.8 4.23886233
-1.83914314 1331.8 4.23995400
-1.83914314 1337.8 4.24104516
-1.83914314 1343.8 4.24213583
-1.83914314 1349.8 4.24322601
-1.83914314 1355.9 4.24431570
-1.83914314 1361.9 4.24540491
-1.83914314 1367.9 4.24649365
-1.83914314 1373.9 4.24758193
-1.83914314 1379.9 4.24866975
-1.83914314 1386.0 4.24975712
-1.83914314 1392.0 4.25084404
-1.83914314 1398.0 4.25193052
-1.83914314 1404.0 4.25301656
-1.83914314 1410.0 4.25410218
-1.83914314 1416.1 4.25518738
-1.83914314 1422.1 4.25627216
-1.83914314 1428.1 4.25735653
-1.83914314 1434.1 4.25844049
-1.83914314 1440.1 4.25952405
-1.83914314 1446.2 4.26060722
-1.83914314 1452.2 4.26168999
-1.83914314 1458.2 4.26277238
-1.83914314 1464.2 4.26385439
-1.83914314 1470.2 4.26493603
-1.83914314 1476.3 4.26601730
-1.83914314 1482.3 4.26709820
-1.83914314 1488.3 4.26817873
-1.83914314 1494.3 4.26925892
-1.83914314 1500.3 4.27033875
-1.83914314 1506.4 4.27141823
-1.83914314 1512.4 4.27249737
-1.83914314 1518.4 4.27357617
-1.83914314 1524.4 4.27465463
-1.83914314 1530.4 4.27573277
-1.83914314 1536.5 4.27681058
-1.83914314 1542.5 4.27788806
-1.83914314 1548.5 4.27896523
-1.83914314 1554.5 4.28004208
-1.83914314 1560.5 4.28111862
-1.83914314 1566.6 4.28219485
-1.83914314 1572.6 4.28327078
-1.83914314 1578.6 4.28434641
-1.83914314 1584.6 4.28542174
-1.83914314 1590.6 4.28649678
-1.83914314 1596.7 4.28757153
-1.83914314 1602.7 4.28864599
-1.83914314 1608.7 4.28972017
-1.83914314 1614.7 4.29079407
-1.83914314 1620.7 4.29186769
-1.83914314 1626.8 4.29294105
-1.83914314 1632.8 4.29401413
-1.83914314 1638.8 4.29508694
-1.83914314 1644.8 4.29615949
-1.83914314 1650.8 4.29723178
-1.83914314 1656.9 4.29830381
-1.83914314 1662.9 4.29937558
-1.83914314 1668.9 4.30044710
-1.83914314 1674.9 4.30151838
-1.83914314 1680.9 4.30258940
-1.83914314 1687.0 4.30366018
-1.83914314 1693.0 4.30473072
-1.83914314 1699.0 4.30580103
-1.83914314 1705.0 4.30687109
-1.83914314 1711.0 4.30794092
-1.83914314 1717.1 4.30901052
-1.83914314 1723.1 4.31007990
-1.83914314 1729.1 4.31114904
-1.83914314 1735.1 4.31221797
-1.83914314 1741.1 4.31328667
-1.83914314 1747.2 4.31435515
-1.83914314 1753.2 4.31542342
-1.83914314 1759.2 4.31649147
-1.83914314 1765.2 4.31755931
-1.83914314 1771.2 4.31862694
-1.83914314 1777.3 4.31969436
-1.83914314 1783.3 4.32076158
-1.83914314 1789.3 4.32182859
-1.83914314 1795.3 4.32289540
-1.83914314 1801.3 4.32396202
-1.83914314 1807.4 4.32502843
-1.83914314 1813.4 4.32609465
-1.83914314 1819.4 4.32716068
-1.83914314 1825.4 4.32822652
-1.83914314 1831.4 4.32929217
-1.83914314 1837.5 4.33035763
-1.83914314 1843.5 4.33142290
-1.83914314 1849.5 4.33248800
-1.83914314 1855.5 4.33355291
-1.83914314 1861.5 4.33461764
-1.83914314 1867.6 4.33568219
-1.83914314 1873.6 4.33674656
-1.83914314 1879.6 4.33781076
-1.83914314 1885.6 4.33887479
-1.83914314 1891.6 4.33993865
-1.83914314 1897.7 4.34100233
-1.83914314 1903.7 4.34206585
-1.83914314 1909.7 4.34312920
-1.83914314 1915.7 4.34419239
-1.83914314 1921.7 4.34525542
-1.83914314 1927.8 4.34631828
-1.83914314 1933.8 4.34738098
-1.83914314 1939.8 4.34844353
-1.83914314 1945.8 4.34950592
-1.83914314 1951.8 4.35056815
-1.83914314 1957.9 4.35163023
-1.83914314 1963.9 4.35269216
-1.83914314 1969.9 4.35375393
-1.83914314 1975.9 4.35481556
-1.83914314 1981.9 4.35587703
-1.83914314 1988.0 4.35693837
-1.83914314 1994.0 4.35799955
-1.83914314 2000.0 4.35906059
-1.79951305 200.0 3.71668142
-1.79951305 206.0 3.75937633
-1.79951305 212.0 3.79524670
-1.79951305 218.1 3.82523877
-1.79951305 224.1 3.85030747
-1.79951305 230.1 3.87133034
-1.79951305 236.1 3.88906560
-1.79951305 242.1 3.90414289
-1.79951305 248.2 3.91707243
-1.79951305 254.2 3.92826203
-1.79951305 260.2 3.93803540
-1.79951305 266.2 3.94664908
-1.79951305 272.2 3.95430664
-1.79951305 278.3 3.96117029
-1.79951305 284.3 3.96736985
-1.79951305 290.3 3.97300993
-1.79951305 296.3 3.97817531
-1.79951305 302.3 3.98293519
-1.79951305 308.4 3.98734642
-1.79951305 314.4 3.99145602
-1.79951305 320.4 3.99530314
-1.79951305 326.4 3.99892059
-1.79951305 332.4 4.00233601
-1.79951305 338.5 4.00557284
-1.79951305 344.5 4.00865107
-1.79951305 350.5 4.01158782
-1.79951305 356.5 4.01439787
-1.79951305 362.5 4.01709399
-1.79951305 368.6 4.01968729
-1.79951305 374.6 4.02218748
-1.79951305 380.6 4.02460307
-1.79951305 386.6 4.02694156
-1.79951305 392.6 4.02920959
-1.79951305 398.7 4.03141302
-1.79951305 404.7 4.03355711
-1.79951305 410.7 4.03564651
-1.79951305 416.7 4.03768543
-1.79951305 422.7 4.03967761
-1.79951305 428.8 4.04162646
-1.79951305 434.8 4.04353504
-1.79951305 440.8 4.04540612
-1.79951305 446.8 4.04724222
-1.79951305 452.8 4.04904563
-1.79951305 458.9 4.05081845
-1.79951305 464.9 4.05256259
-1.79951305 470.9 4.05427980
-1.79951305 476.9 4.05597169
-1.79951305 482.9 4.05763973
-1.79951305 489.0 4.05928529
-1.79951305 495.0 4.06090963
-1.79951305 501.0 4.06251391
-1.79951305 507.0 4.06409920
-1.79951305 513.0 4.06566651
-1.79951305 519.1 4.06721676
-1.79951305 525.1 4.06875081
-1.79951305 531.1 4.07026947
-1.79951305 537.1 4.07177348
-1.79951305 543.1 4.07326355
-1.79951305 549.2 4.07474033
-1.79951305 555.2 4.07620443
-1.79951305 561.2 4.07765643
-1.79951305 567.2 4.07909687
-1.79951305 573.2 4.08052625
-1.79951305 579.3 4.08194504
-1.79951305 585.3 4.08335371
-1.79951305 591.3 4.08475266
-1.79951305 597.3 4.08614230
-1.79951305 603.3 4.08752300
-1.79951305 609.4 4.08889512
-1.79951305 615.4 4.09025900
-1.79951305 621.4 4.09161495
-1.79951305 627.4 4.09296328
-1.79951305 633.4 4.09430426
-1.79951305 639.5 4.09563818
-1.79951305 645.5 4.09696528
-1.79951305 651.5 4.09828582
-1.79951305 657.5 4.09960003
-1.79951305 663.5 4.10090812
-1.79951305 669.6 4.10221032
-1.79951305 675.6 4.10350681
-1.79951305 681.6 4.10479779
-1.79951305 687.6 4.10608345
-1.79951305 693.6 4.10736396
-1.79951305 699.7 4.10863948
-1.79951305 705.7 4.10991018
-1.79951305 711.7 4.11117621
-1.79951305 717.7 4.11243770
-1.79951305 723.7 4.11369482
-1.79951305 729.8 4.11494767
-1.79951305 735.8 4.11619641
-1.79951305 741.8 4.11744114
-1.79951305 747.8 4.11868198
-1.79951305 753.8 4.11991906
-1.79951305 759.9 4.12115247
-1.79951305 765.9 4.12238232
-1.79951305 771.9 4.12360872
-1.79951305 777.9 4.12483175
-1.79951305 783.9 4.12605152
-1.79951305 790.0 4.12726810
-1.79951305 796.0 4.12848160
-1.79951305 802.0 4.12969208
-1.79951305 808.0 4.13089963
-1.79951305 814.0 4.13210433
-1.79951305 820.1 4.13330625
-1.79951305 826.1 4.13450546
-1.79951305 832.1 4.13570203
-1.79951305 838.1 4.13689603
-1.79951305 844.1 4.13808752
-1.79951305 850.2 4.13927657
-1.79951305 856.2 4.14046323
-1.79951305 862.2 4.14164756
-1.79951305 868.2 4.14282962
-1.79951305 874.2 4.14400946
-1.79951305 880.3 4.14518713
-1.79951305 886.3 4.14636270
-1.79951305 892.3 4.14753619
-1.79951305 898.3 4.14870767
-1.79951305 904.3 4.14987718
-1.79951305 910.4 4.15104477
-1.79951305 916.4 4.15221046
-1.79951305 922.4 4.15337432
-1.79951305 928.4 4.15453638
-1.79951305 934.4 4.15569667
-1.79951305 940.5 4.15685525
-1.79951305 946.5 4.15801214
-1.79951305 952.5 4.15916737
-1.79951305 958.5 4.16032100
-1.79951305 964.5 4.16147304
-1.79951305 970.6 4.16262354
-1.79951305 976.6 4.16377252
-1.79951305 982.6 4.16492001
-1.79951305 988.6 4.16606606
-1.79951305 994.6 4.16721067
-1.79951305 1000.7 4.16835390
-1.79951305 1006.7 4.16949575
-1.79951305 1012.7 4.17063627
-1.79951305 1018.7 4.17177547
-1.79951305 1024.7 4.17291338
-1.79951305 1030.8 4.17405003
-1.79951305 1036.8 4.17518544
-1.79951305 1042.8 4.17631964
-1.79951305 1048.8 4.17745264
-1.79951305 1054.8 4.17858447
-1.79951305 1060.9 4.17971516
-1.79951305 1066.9 4.18084472
-1.79951305 1072.9 4.18197317
-1.79951305 1078.9 4.18310054
-1.79951305 1084.9 4.18422685
-1.79951305 1091.0 4.18535210
-1.79951305 1097.0 4.18647633
-1.79951305 1103.0 4.18759956
-1.79951305 1109.0 4.18872179
-1.79951305 1115.1 4.18984304
-1.79951305 1121.1 4.19096335
-1.79951305 1127.1 4.19208271
-1.79951305 1133.1 4.19320115
-1.79951305 1139.1 4.19431868
-1.79951305 1145.2 4.19543436
-1.79951305 1151.2 4.19655013
-1.79951305 1157.2 4.19766503
-1.79951305 1163.2 4.19877910
-1.79951305 1169.2 4.19989233
-1.79951305 1175.3 4.20100474
-1.79951305 1181.3 4.20211729
-1.79951305 1187.3 4.20322809
-1.79951305 1193.3 4.20433812
-1.79951305 1199.3 4.20544738
-1.79951305 1205.4 4.20655589
-1.79951305 1211.4 4.20766366
-1.79951305 1217.4 4.20877069
-1.79951305 1223.4 4.20987701
-1.79951305 1229.4 4.21098261
-1.79951305 1235.5 4.21208752
-1.79951305 1241.5 4.21319175
-1.79951305 1247.5 4.21429530
-1.79951305 1253.5 4.21539818
-1.79951305 1259.5 4.21650041
-1.79951305 1265.6 4.21760200
-1.79951305 1271.6 4.21870295
-1.79951305 1277.6 4.21980328
-1.79951305 1283.6 4.22090299
-1.79951305 1289.6 4.22200209
-1.79951305 1295.7 4.22310060
-1.79951305 1301.7 4.22419852
-1.79951305 1307.7 4.22529586
-1.79951305 1313.7 4.22639262
-1.79951305 1319.7 4.22748883
-1.79951305 1325.8 4.22858447
-1.79951305 1331.8 4.22967957
-1.79951305 1337.8 4.23077413
-1.79951305 1343.8 4.23186816
-1.79951305 1349.8 4.23296167
-1.79951305 1355.9 4.23405466
-1.79951305 1361.9 4.23514714
-1.79951305 1367.9 4.23623911
-1.79951305 1373.9 4.23733059
-1.79951305 1379.9 4.23842159
-1.79951305 1386.0 4.23951210
-1.79951305 1392.0 4.24060213
-1.79951305 1398.0 4.24169170
-1.79951305 1404.0 4.24278080
-1.79951305 1410.0 4.24386945
-1.79951305 1416.1 4.24495765
-1.79951305 1422.1 4.24604540
-1.79951305 1428.1 4.24713272
-1.79951305 1434.1 4.24821960
-1.79951305 1440.1 4.24930606
-1.79951305 1446.2 4.25039209
-1.79951305 1452.2 4.25147771
-1.79951305 1458.2 4.25256292
-1.79951305 1464.2 4.25364773
-1.79951305 1470.2 4.25473213
-1.79951305 1476.3 4.25581614
-1.79951305 1482.3 4.25689976
-1.79951305 1488.3 4.25798300
-1.79951305 1494.3 4.25906586
-1.79951305 1500.3 4.26014834
-1.79951305 1506.4 4.26123045
-1.79951305 1512.4 4.26231220
-1.79951305 1518.4 4.26339358
-1.79951305 1524.4 4.26447461
-1.79951305 1530.4 4.26555529
-1.79951305 1536.5 4.26663562
-1.79951305 1542.5 4.26771560
-1.79951305 1548.5 4.26879525
-1.79951305 1554.5 4.26987456
-1.79951305 1560.5 4.27095353
-1.79951305 1566.6 4.27203219
-1.79951305 1572.6 4.27311051
-1.79951305 1578.6 4.27418852
-1.79951305 1584.6 4.27526622
-1.79951305 1590.6 4.27634360
-1.79951305 1596.7 4.27742067
-1.79951305 1602.7 4.27849744
-1.79951305 1608.7 4.27957390
-1.79951305 1614.7 4.28065007
-1.79951305 1620.7 4.28172595
-1.79951305 1626.8 4.28280153
-1.79951305 1632.8 4.28387683
-1.79951305 1638.8 4.28495184
-1.79951305 1644.8 4.28602657
-1.79951305 1650.8 4.28710103
-1.79951305 1656.9 4.28817520
-1.79951305 1662.9 4.28924911
-1.79951305 1668.9 4.29032275
-1.79951305 1674.9 4.29139612
-1.79951305 1680.9 4.29246923
-1.79951305 1687.0 4.29354208
-1.79951305 1693.0 4.29461468
-1.79951305 1699.0 4.29568702
-1.79951305 1705.0 4.29675911
-1.79951305 1711.0 4.29783095
-1.79951305 1717.1 4.29890254
-1.79951305 1723.1 4.29997389
-1.79951305 1729.1 4.30104501
-1.79951305 1735.1 4.30211588
-1.79951305 1741.1 4.30318652
-1.79951305 1747.2 4.30425692
-1.79951305 1753.2 4.30532710
-1.79951305 1759.2 4.30639704
-1.79951305 1765.2 4.30746676
-1.79951305 1771.2 4.30853626
-1.79951305 1777.3 4.30960554
-1.79951305 1783.3 4.31067460
-1.79951305 1789.3 4.31174344
-1.79951305 1795.3 4.31281207
-1.79951305 1801.3 4.31388049
-1.79951305 1807.4 4.31494869
-1.79951305 1813.4 4.31601669
-1.79951305 1819.4 4.31708449
-1.79951305 1825.4 4.31815208
-1.79951305 1831.4 4.31921947
-1.79951305 1837.5 4.32028666
-1.79951305 1843.5 4.32135365
-1.79951305 1849.5 4.32242045
-1.79951305 1855.5 4.32348706
-1.79951305 1861.5 4.32455347
-1.79951305 1867.6 4.32561970
-1.79951305 1873.6 4.32668573
-1.79951305 1879.6 4.32775159
-1.79951305 1885.6 4.32881725
-1.79951305 1891.6 4.32988274
-1.79951305 1897.7 4.33094804
-1.79951305 1903.7 4.33201317
-1.79951305 1909.7 4.33307812
-1.79951305 1915.7 4.33414290
-1.79951305 1921.7 4.33520750
-1.79951305 1927.8 4.33627193
-1.79951305 1933.8 4.33733619
-1.79951305 1939.8 4.33840028
-1.79951305 1945.8 4.33946420
-1.79951305 1951.8 4.34052796
-1.79951305 1957.9 4.34159156
-1.79951305 1963.9 4.34265499
-1.79951305 1969.9 4.34371826
-1.79951305 1975.9 4.34478138
-1.79951305 1981.9 4.34584433
-1.79951305 1988.0 4.34690713
-1.79951305 1994.0 4.34796978
-1.79951305 2000.0 4.34903227
-1.75988295 200.0 3.65098848
-1.75988295 206.0 3.70063624
-1.75988295 212.0 3.74294945
-1.75988295 218.1 3.77869406
-1.75988295 224.1 3.80875325
-1.75988295 230.1 3.83401993
-1.75988295 236.1 3.85531990
-1.75988295 242.1 3.87337280
-1.75988295 248.2 3.88878185
-1.75988295 254.2 3.90204046
-1.75988295 260.2 3.91354648
-1.75988295 266.2 3.92361833
-1.75988295 272.2 3.93251023
-1.75988295 278.3 3.94042527
-1.75988295 284.3 3.94752619
-1.75988295 290.3 3.95394399
-1.75988295 296.3 3.95978466
-1.75988295 302.3 3.96513448
-1.75988295 308.4 3.97006414
-1.75988295 314.4 3.97463188
-1.75988295 320.4 3.97888602
-1.75988295 326.4 3.98286689
-1.75988295 332.4 3.98660835
-1.75988295 338.5 3.99013900
-1.75988295 344.5 3.99348314
-1.75988295 350.5 3.99666150
-1.75988295 356.5 3.99969190
-1.75988295 362.5 4.00258969
-1.75988295 368.6 4.00536818
-1.75988295 374.6 4.00803895
-1.75988295 380.6 4.01061215
-1.75988295 386.6 4.01309666
-1.75988295 392.6 4.01550032
-1.75988295 398.7 4.01783006
-1.75988295 404.7 4.02009204
-1.75988295 410.7 4.02229174
-1.75988295 416.7 4.02443405
-1.75988295 422.7 4.02652336
-1.75988295 428.8 4.02856361
-1.75988295 434.8 4.03055837
-1.75988295 440.8 4.03251084
-1.75988295 446.8 4.03442393
-1.75988295 452.8 4.03630029
-1.75988295 458.9 4.03814232
-1.75988295 464.9 4.03995223
-1.75988295 470.9 4.04173201
-1.75988295 476.9 4.04348350
-1.75988295 482.9 4.04520840
-1.75988295 489.0 4.04690826
-1.75988295 495.0 4.04858450
-1.75988295 501.0 4.05023846
-1.75988295 507.0 4.05187134
-1.75988295 513.0 4.05348428
-1.75988295 519.1 4.05507833
-1.75988295 525.1 4.05665447
-1.75988295 531.1 4.05821359
-1.75988295 537.1 4.05975655
-1.75988295 543.1 4.06128413
-1.75988295 549.2 4.06279706
-1.75988295 555.2 4.06429603
-1.75988295 561.2 4.06578169
-1.75988295 567.2 4.06725465
-1.75988295 573.2 4.06871545
-1.75988295 579.3 4.07016465
-1.75988295 585.3 4.07160273
-1.75988295 591.3 4.07303017
-1.75988295 597.3 4.07444742
-1.75988295 603.3 4.07585488
-1.75988295 609.4 4.07725296
-1.75988295 615.4 4.07864203
-1.75988295 621.4 4.08002245
-1.75988295 627.4 4.08139454
-1.75988295 633.4 4.08275862
-1.75988295 639.5 4.08411500
-1.75988295 645.5 4.08546395
-1.75988295 651.5 4.08680576
-1.75988295 657.5 4.08814067
-1.75988295 663.5 4.08946893
-1.75988295 669.6 4.09079077
-1.75988295 675.6 4.09210642
-1.75988295 681.6 4.09341608
-1.75988295 687.6 4.09471996
-1.75988295 693.6 4.09601825
-1.75988295 699.7 4.09731113
-1.75988295 705.7 4.09859878
-1.75988295 711.7 4.09988136
-1.75988295 717.7 4.10115904
-1.75988295 723.7 4.10243196
-1.75988295 729.8 4.10370028
-1.75988295 735.8 4.10496413
-1.75988295 741.8 4.10622365
-1.75988295 747.8 4.10747897
-1.75988295 753.8 4.10873022
-1.75988295 759.9 4.10997750
-1.75988295 765.9 4.11122094
-1.75988295 771.9 4.11246064
-1.75988295 777.9 4.11369671
-1.75988295 783.9 4.11492925
-1.75988295 790.0 4.11615836
-1.75988295 796.0 4.11738414
-1.75988295 802.0 4.11860666
-1.75988295 808.0 4.11982603
-1.75988295 814.0 4.12104232
-1.75988295 820.1 4.12225561
-1.75988295 826.1 4.12346598
-1.75988295 832.1 4.12467351
-1.75988295 838.1 4.12587827
-1.75988295 844.1 4.12708033
-1.75988295 850.2 4.12827976
-1.75988295 856.2 4.12947662
-1.75988295 862.2 4.13067097
-1.75988295 868.2 4.13186288
-1.75988295 874.2 4.13305240
-1.75988295 880.3 4.13423960
-1.75988295 886.3 4.13542452
-1.75988295 892.3 4.13660722
-1.75988295 898.3 4.13778776
-1.75988295 904.3 4.13896617
-1.75988295 910.4 4.14014252
-1.75988295 916.4 4.14131684
-1.75988295 922.4 4.14248919
-1.75988295 928.4 4.14365960
-1.75988295 934.4 4.14482812
-1.75988295 940.5 4.14599479
-1.75988295 946.5 4.14715965
-1.75988295 952.5 4.14832275
-1.75988295 958.5 4.14948411
-1.75988295 964.5 4.15064377
-1.75988295 970.6 4.15180178
-1.75988295 976.6 4.15295816
-1.75988295 982.6 4.15411295
-1.75988295 988.6 4.15526618
-1.75988295 994.6 4.15641789
-1.75988295 1000.7 4.15756809
-1.75988295 1006.7 4.15871684
-1.75988295 1012.7 4.15986414
-1.75988295 1018.7 4.16101004
-1.75988295 1024.7 4.16215456
-1.75988295 1030.8 4.16329773
-1.75988295 1036.8 4.16443957
-1.75988295 1042.8 4.16558010
-1.75988295 1048.8 4.16671937
-1.75988295 1054.8 4.16785737
-1.75988295 1060.9 4.16899416
-1.75988295 1066.9 4.17012973
-1.75988295 1072.9 4.17126412
-1.75988295 1078.9 4.17239735
-1.75988295 1084.9 4.17352944
-1.75988295 1091.0 4.17466042
-1.75988295 1097.0 4.17579029
-1.75988295 1103.0 4.17691908
-1.75988295 1109.0 4.17804682
-1.75988295 1115.1 4.17917351
-1.75988295 1121.1 4.18029918
-1.75988295 1127.1 4.18142385
-1.75988295 1133.1 4.18254753
-1.75988295 1139.1 4.18367024
-1.75988295 1145.2 4.18479111
-1.75988295 1151.2 4.18591193
-1.75988295 1157.2 4.18703183
-1.75988295 1163.2 4.18815083
-1.75988295 1169.2 4.18926894
-1.75988295 1175.3 4.19038618
-1.75988295 1181.3 4.19150342
-1.75988295 1187.3 4.19261895
-1.75988295 1193.3 4.19373364
-1.75988295 1199.3 4.19484751
-1.75988295 1205.4 4.19596058
-1.75988295 1211.4 4.19707285
-1.75988295 1217.4 4.19818434
-1.75988295 1223.4 4.19929507
-1.75988295 1229.4 4.20040504
-1.75988295 1235.5 4.20151426
-1.75988295 1241.5 4.20262276
-1.75988295 1247.5 4.20373053
-1.75988295 1253.5 4.20483759
-1.75988295 1259.5 4.20594396
-1.75988295 1265.6 4.20704964
-1.75988295 1271.6 4.20815464
-1.75988295 1277.6 4.20925897
-1.75988295 1283.6 4.21036264
-1.75988295 1289.6 4.21146567
-1.75988295 1295.7 4.21256806
-1.75988295 1301.7 4.21366983
-1.75988295 1307.7 4.21477097
-1.75988295 1313.7 4.21587150
-1.75988295 1319.7 4.21697144
-1.75988295 1325.8 4.21807078
-1.75988295 1331.8 4.21916953
-1.75988295 1337.8 4.22026771
-1.75988295 1343.8 4.22136533
-1.75988295 1349.8 4.22246238
-1.75988295 1355.9 4.22355889
-1.75988295 1361.9 4.22465485
-1.75988295 1367.9 4.22575028
-1.75988295 1373.9 4.22684517
-1.75988295 1379.9 4.22793955
-1.75988295 1386.0 4.22903341
-1.75988295 1392.0 4.23012677
-1.75988295 1398.0 4.23121962
-1.75988295 1404.0 4.23231199
-1.75988295 1410.0 4.23340387
-1.75988295 1416.1 4.23449526
-1.75988295 1422.1 4.23558619
-1.75988295 1428.1 4.23667664
-1.75988295 1434.1 4.23776664
-1.75988295 1440.1 4.23885618
-1.75988295 1446.2 4.23994527
-1.75988295 1452.2 4.24103392
-1.75988295 1458.2 4.24212214
-1.75988295 1464.2 4.24320992
-1.75988295 1470.2 4.24429728
-1.75988295 1476.3 4.24538421
-1.75988295 1482.3 4.24647073
-1.75988295 1488.3 4.24755684
-1.75988295 1494.3 4.24864255
-1.75988295 1500.3 4.24972786
-1.75988295 1506.4 4.25081277
-1.75988295 1512.4 4.25189729
-1.75988295 1518.4 4.25298143
-1.75988295 1524.4 4.25406519
-1.75988295 1530.4 4.25514857
-1.75988295 1536.5 4.25623159
-1.75988295 1542.5 4.25731423
-1.75988295 1548.5 4.25839652
-1.75988295 1554.5 4.25947845
-1.75988295 1560.5 4.26056003
-1.75988295 1566.6 4.26164125
-1.75988295 1572.6 4.26272214
-1.75988295 1578.6 4.26380268
-1.75988295 1584.6 4.26488289
-1.75988295 1590.6 4.26596276
-1.75988295 1596.7 4.26704231
-1.75988295 1602.7 4.26812153
-1.75988295 1608.7 4.26920043
-1.75988295 1614.7 4.27027902
-1.75988295 1620.7 4.27135729
-1.75988295 1626.8 4.27243525
-1.75988295 1632.8 4.27351291
-1.75988295 1638.8 4.27459026
-1.75988295 1644.8 4.27566731
-1.75988295 1650.8 4.27674407
-1.75988295 1656.9 4.27782054
-1.75988295 1662.9 4.27889672
-1.75988295 1668.9 4.27997261
-1.75988295 1674.9 4.28104822
-1.75988295 1680.9 4.28212354
-1.75988295 1687.0 4.28319860
-1.75988295 1693.0 4.28427338
-1.75988295 1699.0 4.28534789
-1.75988295 1705.0 4.28642213
-1.75988295 1711.0 4.28749611
-1.75988295 1717.1 4.28856982
-1.75988295 1723.1 4.28964328
-1.75988295 1729.1 4.29071648
-1.75988295 1735.1 4.29178943
-1.75988295 1741.1 4.29286213
-1.75988295 1747.2 4.29393458
-1.75988295 1753.2 4.29500678
-1.75988295 1759.2 4.29607875
-1.75988295 1765.2 4.29715047
-1.75988295 1771.2 4.29822196
-1.75988295 1777.3 4.29929321
-1.75988295 1783.3 4.30036422
-1.75988295 1789.3 4.30143501
-1.75988295 1795.3 4.30250557
-1.75988295 1801.3 4.30357591
-1.75988295 1807.4 4.30464602
-1.75988295 1813.4 4.30571591
-1.75988295 1819.4 4.30678559
-1.75988295 1825.4 4.30785504
-1.75988295 1831.4 4.30892429
-1.75988295 1837.5 4.30999332
-1.75988295 1843.5 4.31106214
-1.75988295 1849.5 4.31213076
-1.75988295 1855.5 4.31319917
-1.75988295 1861.5 4.31426737
