% f_log(GV/m) T(K) deltaE(eV)
-9.17071028 1048.8 4.66851425
-9.17071028 1054.8 4.66955174
-9.17071028 1060.9 4.67058924
-9.17071028 1066.9 4.67162675
-9.17071028 1072.9 4.67266427
-9.17071028 1078.9 4.67370180
-9.17071028 1084.9 4.67473934
-9.17071028 1091.0 4.67577689
-9.17071028 1097.0 4.67681446
-9.17071028 1103.0 4.67785203
-9.17071028 1109.0 4.67888961
-9.17071028 1115.1 4.67992720
-9.17071028 1121.1 4.68096480
-9.17071028 1127.1 4.68200241
-9.17071028 1133.1 4.68304003
-9.17071028 1139.1 4.68407765
-9.17071028 1145.2 4.68511529
-9.17071028 1151.2 4.68615293
-9.17071028 1157.2 4.68721258
-9.17071028 1163.2 4.68825206
-9.17071028 1169.2 4.68929149
-9.17071028 1175.3 4.69033087
-9.17071028 1181.3 4.69137020
-9.17071028 1187.3 4.69240948
-9.17071028 1193.3 4.69342409
-9.17071028 1199.3 4.69446137
-9.17071028 1205.4 4.69549891
-9.17071028 1211.4 4.69653645
-9.17071028 1217.4 4.69757398
-9.17071028 1223.4 4.69861152
-9.17071028 1229.4 4.69964906
-9.17071028 1235.5 4.70068659
-9.17071028 1241.5 4.70172413
-9.17071028 1247.5 4.70276167
-9.17071028 1253.5 4.70379920
-9.17071028 1259.5 4.70483674
-9.17071028 1265.6 4.70587428
-9.17071028 1271.6 4.70691181
-9.17071028 1277.6 4.70794935
-9.17071028 1283.6 4.70899466
-9.17071028 1289.6 4.71003213
-9.17071028 1295.7 4.71106959
-9.17071028 1301.7 4.71210706
-9.17071028 1307.7 4.71314453
-9.17071028 1313.7 4.71418381
-9.17071028 1319.7 4.71522126
-9.17071028 1325.8 4.71625871
-9.17071028 1331.8 4.71729617
-9.17071028 1337.8 4.71832610
-9.17071028 1343.8 4.71936363
-9.17071028 1349.8 4.72040115
-9.17071028 1355.9 4.72143867
-9.17071028 1361.9 4.72247442
-9.17071028 1367.9 4.72351196
-9.17071028 1373.9 4.72454950
-9.17071028 1379.9 4.72558704
-9.17071028 1386.0 4.72662458
-9.17071028 1392.0 4.72766212
-9.17071028 1398.0 4.72869966
-9.17071028 1404.0 4.72973720
-9.17071028 1410.0 4.73077473
-9.17071028 1416.1 4.73181227
-9.17071028 1422.1 4.73284981
-9.17071028 1428.1 4.73388735
-9.17071028 1434.1 4.73492489
-9.17071028 1440.1 4.73596243
-9.17071028 1446.2 4.73699997
-9.17071028 1452.2 4.73803751
-9.17071028 1458.2 4.73907505
-9.17071028 1464.2 4.74011259
-9.17071028 1470.2 4.74115012
-9.17071028 1476.3 4.74218766
-9.17071028 1482.3 4.74322520
-9.17071028 1488.3 4.74426274
-9.17071028 1494.3 4.74530028
-9.17071028 1500.3 4.74633782
-9.17071028 1506.4 4.74737536
-9.17071028 1512.4 4.74841290
-9.17071028 1518.4 4.74945044
-9.17071028 1524.4 4.75048798
